#    L    TT             EE             BB             TE          
   153    0.43784E+04    0.10149E+01    0.63314E-02   -0.44090E+02
   154    0.44093E+04    0.10089E+01    0.64222E-02   -0.44031E+02
   155    0.44400E+04    0.10026E+01    0.65138E-02   -0.43948E+02
   156    0.44703E+04    0.99599E+00    0.66062E-02   -0.43841E+02
   157    0.45005E+04    0.98899E+00    0.66994E-02   -0.43708E+02
   158    0.45305E+04    0.98172E+00    0.67934E-02   -0.43551E+02
   159    0.45601E+04    0.97403E+00    0.68883E-02   -0.43369E+02
   160    0.45895E+04    0.96607E+00    0.69840E-02   -0.43161E+02
   161    0.46187E+04    0.95791E+00    0.70805E-02   -0.42928E+02
   162    0.46476E+04    0.94940E+00    0.71778E-02   -0.42670E+02
   163    0.46763E+04    0.94062E+00    0.72759E-02   -0.42386E+02
   164    0.47046E+04    0.93163E+00    0.73749E-02   -0.42077E+02
   165    0.47327E+04    0.92238E+00    0.74747E-02   -0.41741E+02
   166    0.47605E+04    0.91300E+00    0.75754E-02   -0.41380E+02
   167    0.47881E+04    0.90326E+00    0.76769E-02   -0.40994E+02
   168    0.48152E+04    0.89356E+00    0.77792E-02   -0.40581E+02
   169    0.48420E+04    0.88357E+00    0.78823E-02   -0.40140E+02
   170    0.48686E+04    0.87354E+00    0.79863E-02   -0.39675E+02
   171    0.48946E+04    0.86345E+00    0.80911E-02   -0.39181E+02
   172    0.49203E+04    0.85323E+00    0.81968E-02   -0.38662E+02
   173    0.49455E+04    0.84289E+00    0.83033E-02   -0.38116E+02
   174    0.49704E+04    0.83272E+00    0.84107E-02   -0.37544E+02
   175    0.49949E+04    0.82242E+00    0.85188E-02   -0.36944E+02
   176    0.50189E+04    0.81221E+00    0.86278E-02   -0.36318E+02
   177    0.50425E+04    0.80202E+00    0.87377E-02   -0.35666E+02
   178    0.50656E+04    0.79208E+00    0.88484E-02   -0.34988E+02
   179    0.50883E+04    0.78208E+00    0.89599E-02   -0.34282E+02
   180    0.51107E+04    0.77224E+00    0.90723E-02   -0.33550E+02
   181    0.51325E+04    0.76257E+00    0.91854E-02   -0.32794E+02
   182    0.51539E+04    0.75313E+00    0.92994E-02   -0.32010E+02
   183    0.51747E+04    0.74387E+00    0.94143E-02   -0.31201E+02
   184    0.51952E+04    0.73483E+00    0.95299E-02   -0.30365E+02
   185    0.52152E+04    0.72618E+00    0.96464E-02   -0.29506E+02
   186    0.52344E+04    0.71778E+00    0.97636E-02   -0.28619E+02
