#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    44    0.12632E+04    0.12696E+01    0.21565E-04    0.70587E-01    0.65679E-01    0.12696E+01    0.75014E-01    0.14175E-08    0.46091E-06    0.15195E-04    0.21565E-04    0.14175E-08    0.65520E-10    0.27080E-06    0.18425E-06    0.70587E-01    0.46091E-06    0.27080E-06    0.16317E-01    0.46309E-04    0.65679E-01    0.15195E-04    0.18425E-06    0.46309E-04    0.12553E-02
    45    0.12819E+04    0.11562E+01    0.20623E-04    0.69226E-01    0.65119E-01    0.11562E+01    0.80769E-01    0.16751E-08    0.35317E-06    0.16274E-04    0.20623E-04    0.16751E-08    0.62459E-10    0.26553E-06    0.18265E-06    0.69226E-01    0.35317E-06    0.26553E-06    0.16757E-01    0.47619E-04    0.65119E-01    0.16274E-04    0.18265E-06    0.47619E-04    0.13013E-02
    46    0.13009E+04    0.10255E+01    0.19740E-04    0.67914E-01    0.64536E-01    0.10255E+01    0.86768E-01    0.78018E-09    0.26389E-06    0.16736E-04    0.19740E-04    0.78018E-09    0.59585E-10    0.26043E-06    0.18100E-06    0.67914E-01    0.26389E-06    0.26043E-06    0.17196E-01    0.49024E-04    0.64536E-01    0.16736E-04    0.18100E-06    0.49024E-04    0.13471E-02
    47    0.13201E+04    0.87924E+00    0.18909E-04    0.66646E-01    0.63934E-01    0.87924E+00    0.93014E-01   -0.97679E-09    0.19073E-06    0.16607E-04    0.18909E-04   -0.97679E-09    0.56885E-10    0.25548E-06    0.17930E-06    0.66646E-01    0.19073E-06    0.25548E-06    0.17632E-01    0.50522E-04    0.63934E-01    0.16607E-04    0.17930E-06    0.50522E-04    0.13927E-02
    48    0.13393E+04    0.72311E+00    0.18125E-04    0.65415E-01    0.63315E-01    0.72311E+00    0.99517E-01   -0.31822E-08    0.13252E-06    0.15973E-04    0.18125E-04   -0.31822E-08    0.54347E-10    0.25067E-06    0.17756E-06    0.65415E-01    0.13252E-06    0.25067E-06    0.18063E-01    0.52111E-04    0.63315E-01    0.15973E-04    0.17756E-06    0.52111E-04    0.14380E-02
    49    0.13587E+04    0.56215E+00    0.17382E-04    0.64215E-01    0.62682E-01    0.56215E+00    0.10627E+00   -0.54224E-08    0.88078E-07    0.14922E-04    0.17382E-04   -0.54224E-08    0.51959E-10    0.24598E-06    0.17579E-06    0.64215E-01    0.88078E-07    0.24598E-06    0.18487E-01    0.53787E-04    0.62682E-01    0.14922E-04    0.17579E-06    0.53787E-04    0.14830E-02
    50    0.13785E+04    0.39465E+00    0.16675E-04    0.63041E-01    0.62036E-01    0.39465E+00    0.11325E+00   -0.72838E-08    0.56241E-07    0.13539E-04    0.16675E-04   -0.72838E-08    0.49709E-10    0.24138E-06    0.17398E-06    0.63041E-01    0.56241E-07    0.24138E-06    0.18903E-01    0.55547E-04    0.62036E-01    0.13539E-04    0.17398E-06    0.55547E-04    0.15277E-02
    51    0.13985E+04    0.21706E+00    0.15999E-04    0.61887E-01    0.61380E-01    0.21706E+00    0.12043E+00   -0.84444E-08    0.35592E-07    0.11918E-04    0.15999E-04   -0.84444E-08    0.47587E-10    0.23686E-06    0.17215E-06    0.61887E-01    0.35592E-07    0.23686E-06    0.19307E-01    0.57387E-04    0.61380E-01    0.11918E-04    0.17215E-06    0.57387E-04    0.15721E-02
    52    0.14188E+04    0.24159E-01    0.15355E-04    0.60751E-01    0.60716E-01    0.24159E-01    0.12790E+00   -0.89485E-08    0.23734E-07    0.10181E-04    0.15355E-04   -0.89485E-08    0.45584E-10    0.23241E-06    0.17030E-06    0.60751E-01    0.23734E-07    0.23241E-06    0.19700E-01    0.59297E-04    0.60716E-01    0.10181E-04    0.17030E-06    0.59297E-04    0.16161E-02
    53    0.14392E+04   -0.18784E+00    0.14743E-04    0.59631E-01    0.60047E-01   -0.18784E+00    0.13580E+00   -0.89318E-08    0.18028E-07    0.84571E-05    0.14743E-04   -0.89318E-08    0.43691E-10    0.22802E-06    0.16844E-06    0.59631E-01    0.18028E-07    0.22802E-06    0.20079E-01    0.61264E-04    0.60047E-01    0.84571E-05    0.16844E-06    0.61264E-04    0.16596E-02
