#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27    0.97442E+03    0.16559E+01    0.53373E-04    0.11065E+00    0.77120E-01    0.16559E+01    0.14178E-01   -0.56060E-08    0.36662E-05    0.16213E-04    0.53373E-04   -0.56060E-08    0.17383E-09    0.42426E-06    0.22198E-06    0.11065E+00    0.36662E-05    0.42426E-06    0.96648E-02    0.24332E-03    0.77120E-01    0.16213E-04    0.22198E-06    0.24332E-03    0.56081E-03
    28    0.98948E+03    0.17018E+01    0.50067E-04    0.10702E+00    0.77239E-01    0.17018E+01    0.16144E-01   -0.10995E-07    0.37761E-05    0.16345E-04    0.50067E-04   -0.10995E-07    0.16230E-09    0.41021E-06    0.22213E-06    0.10702E+00    0.37761E-05    0.41021E-06    0.10025E-01    0.25290E-03    0.77239E-01    0.16345E-04    0.22213E-06    0.25290E-03    0.60426E-03
    29    0.10049E+04    0.17454E+01    0.47052E-04    0.10357E+00    0.77280E-01    0.17454E+01    0.18287E-01   -0.16118E-07    0.39054E-05    0.16237E-04    0.47052E-04   -0.16118E-07    0.15181E-09    0.39690E-06    0.22205E-06    0.10357E+00    0.39054E-05    0.39690E-06    0.10381E-01    0.26230E-03    0.77280E-01    0.16237E-04    0.22205E-06    0.26230E-03    0.64873E-03
    30    0.10205E+04    0.17834E+01    0.44304E-04    0.10029E+00    0.77256E-01    0.17834E+01    0.20624E-01   -0.21091E-07    0.39245E-05    0.15826E-04    0.44304E-04   -0.21091E-07    0.14223E-09    0.38431E-06    0.22176E-06    0.10029E+00    0.39245E-05    0.38431E-06    0.10736E-01    0.27159E-03    0.77256E-01    0.15826E-04    0.22176E-06    0.27159E-03    0.69409E-03
    31    0.10363E+04    0.18136E+01    0.41788E-04    0.97202E-01    0.77157E-01    0.18136E+01    0.23139E-01   -0.26529E-07    0.38110E-05    0.15217E-04    0.41788E-04   -0.26529E-07    0.13347E-09    0.37245E-06    0.22126E-06    0.97202E-01    0.38110E-05    0.37245E-06    0.11092E-01    0.28078E-03    0.77157E-01    0.15217E-04    0.22126E-06    0.28078E-03    0.74030E-03
    32    0.10524E+04    0.18337E+01    0.39465E-04    0.94292E-01    0.76972E-01    0.18337E+01    0.25806E-01   -0.32555E-07    0.35805E-05    0.14534E-04    0.39465E-04   -0.32555E-07    0.12545E-09    0.36133E-06    0.22060E-06    0.94292E-01    0.35805E-05    0.36133E-06    0.11450E-01    0.28991E-03    0.76972E-01    0.14534E-04    0.22060E-06    0.28991E-03    0.78728E-03
    33    0.10690E+04    0.18409E+01    0.37311E-04    0.91561E-01    0.76723E-01    0.18409E+01    0.28637E-01   -0.36817E-07    0.32941E-05    0.13808E-04    0.37311E-04   -0.36817E-07    0.11808E-09    0.35092E-06    0.21977E-06    0.91561E-01    0.32941E-05    0.35092E-06    0.11814E-01    0.29903E-03    0.76723E-01    0.13808E-04    0.21977E-06    0.29903E-03    0.83496E-03
    34    0.10857E+04    0.18345E+01    0.35304E-04    0.89000E-01    0.76434E-01    0.18345E+01    0.31661E-01   -0.36891E-07    0.30116E-05    0.13041E-04    0.35304E-04   -0.36891E-07    0.11130E-09    0.34117E-06    0.21879E-06    0.89000E-01    0.30116E-05    0.34117E-06    0.12184E-01    0.30819E-03    0.76434E-01    0.13041E-04    0.21879E-06    0.30819E-03    0.88323E-03
    35    0.11025E+04    0.18188E+01    0.33433E-04    0.86601E-01    0.76096E-01    0.18188E+01    0.34900E-01   -0.32507E-07    0.27421E-05    0.12207E-04    0.33433E-04   -0.32507E-07    0.10504E-09    0.33204E-06    0.21768E-06    0.86601E-01    0.27421E-05    0.33204E-06    0.12562E-01    0.31741E-03    0.76096E-01    0.12207E-04    0.21768E-06    0.31741E-03    0.93202E-03
    36    0.11195E+04    0.17967E+01    0.31690E-04    0.84355E-01    0.75699E-01    0.17967E+01    0.38374E-01   -0.24550E-07    0.24776E-05    0.11305E-04    0.31690E-04   -0.24550E-07    0.99257E-10    0.32349E-06    0.21645E-06    0.84355E-01    0.24776E-05    0.32349E-06    0.12948E-01    0.32672E-03    0.75699E-01    0.11305E-04    0.21645E-06    0.32672E-03    0.98125E-03
