#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    50    0.13784E+04    0.39665E+00    0.16704E-04   -0.12811E-01    0.39665E+00    0.11325E+00   -0.72885E-08    0.79186E-05    0.16704E-04   -0.72885E-08    0.49836E-10   -0.47258E-08   -0.12811E-01    0.79186E-05   -0.47258E-08    0.62109E-02
    51    0.13983E+04    0.21915E+00    0.16027E-04   -0.12839E-01    0.21915E+00    0.12044E+00   -0.84471E-08   -0.25147E-04    0.16027E-04   -0.84471E-08    0.47706E-10   -0.47896E-08   -0.12839E-01   -0.25147E-04   -0.47896E-08    0.64498E-02
    52    0.14187E+04    0.26353E-01    0.15382E-04   -0.12901E-01    0.26353E-01    0.12791E+00   -0.89476E-08   -0.55062E-04    0.15382E-04   -0.89476E-08    0.45695E-10   -0.48461E-08   -0.12901E-01   -0.55062E-04   -0.48461E-08    0.66926E-02
    53    0.14391E+04   -0.18554E+00    0.14768E-04   -0.12985E-01   -0.18554E+00    0.13581E+00   -0.89267E-08   -0.80410E-04    0.14768E-04   -0.89267E-08    0.43796E-10   -0.48973E-08   -0.12985E-01   -0.80410E-04   -0.48973E-08    0.69395E-02
    54    0.14594E+04   -0.41234E+00    0.14189E-04   -0.13083E-01   -0.41234E+00    0.14413E+00   -0.85213E-08   -0.99773E-04    0.14189E-04   -0.85213E-08    0.42001E-10   -0.49453E-08   -0.13083E-01   -0.99773E-04   -0.49453E-08    0.71903E-02
    55    0.14798E+04   -0.64976E+00    0.13644E-04   -0.13185E-01   -0.64976E+00    0.15284E+00   -0.78682E-08   -0.11173E-03    0.13644E-04   -0.78682E-08    0.40302E-10   -0.49923E-08   -0.13185E-01   -0.11173E-03   -0.49923E-08    0.74450E-02
    56    0.15006E+04   -0.89958E+00    0.13135E-04   -0.13282E-01   -0.89958E+00    0.16179E+00   -0.70868E-08   -0.11529E-03    0.13135E-04   -0.70868E-08    0.38692E-10   -0.50401E-08   -0.13282E-01   -0.11529E-03   -0.50401E-08    0.77036E-02
    57    0.15217E+04   -0.11616E+01    0.12658E-04   -0.13370E-01   -0.11616E+01    0.17088E+00   -0.62266E-08   -0.11115E-03    0.12658E-04   -0.62266E-08    0.37166E-10   -0.50895E-08   -0.13370E-01   -0.11115E-03   -0.50895E-08    0.79662E-02
    58    0.15430E+04   -0.14365E+01    0.12208E-04   -0.13444E-01   -0.14365E+01    0.18012E+00   -0.53199E-08   -0.10042E-03    0.12208E-04   -0.53199E-08    0.35718E-10   -0.51408E-08   -0.13444E-01   -0.10042E-03   -0.51408E-08    0.82326E-02
    59    0.15645E+04   -0.17248E+01    0.11782E-04   -0.13500E-01   -0.17248E+01    0.18955E+00   -0.43989E-08   -0.84231E-04    0.11782E-04   -0.43989E-08    0.34344E-10   -0.51946E-08   -0.13500E-01   -0.84231E-04   -0.51946E-08    0.85028E-02
    60    0.15862E+04   -0.20257E+01    0.11376E-04   -0.13533E-01   -0.20257E+01    0.19923E+00   -0.34957E-08   -0.63690E-04    0.11376E-04   -0.34957E-08    0.33038E-10   -0.52512E-08   -0.13533E-01   -0.63690E-04   -0.52512E-08    0.87769E-02
    61    0.16084E+04   -0.23382E+01    0.10986E-04   -0.13543E-01   -0.23382E+01    0.20925E+00   -0.26410E-08   -0.40058E-04    0.10986E-04   -0.26410E-08    0.31796E-10   -0.53108E-08   -0.13543E-01   -0.40058E-04   -0.53108E-08    0.90548E-02
    62    0.16304E+04   -0.26633E+01    0.10611E-04   -0.13541E-01   -0.26633E+01    0.21960E+00   -0.18595E-08   -0.15150E-04    0.10611E-04   -0.18595E-08    0.30614E-10   -0.53715E-08   -0.13541E-01   -0.15150E-04   -0.53715E-08    0.93364E-02
    63    0.16526E+04   -0.30021E+01    0.10249E-04   -0.13542E-01   -0.30021E+01    0.23023E+00   -0.11743E-08    0.90813E-05    0.10249E-04   -0.11743E-08    0.29490E-10   -0.54311E-08   -0.13542E-01    0.90813E-05   -0.54311E-08    0.96217E-02
    64    0.16751E+04   -0.33559E+01    0.99003E-05   -0.13560E-01   -0.33559E+01    0.24116E+00   -0.60857E-09    0.30682E-04    0.99003E-05   -0.60857E-09    0.28419E-10   -0.54872E-08   -0.13560E-01    0.30682E-04   -0.54872E-08    0.99107E-02
    65    0.16977E+04   -0.37253E+01    0.95634E-05   -0.13609E-01   -0.37253E+01    0.25236E+00   -0.18540E-09    0.47700E-04    0.95634E-05   -0.18540E-09    0.27398E-10   -0.55377E-08   -0.13609E-01    0.47700E-04   -0.55377E-08    0.10203E-01
    66    0.17206E+04   -0.41087E+01    0.92378E-05   -0.13698E-01   -0.41087E+01    0.26376E+00    0.74169E-10    0.58597E-04    0.92378E-05    0.74169E-10    0.26424E-10   -0.55807E-08   -0.13698E-01    0.58597E-04   -0.55807E-08    0.10499E-01
    67    0.17436E+04   -0.45032E+01    0.89241E-05   -0.13807E-01   -0.45032E+01    0.27536E+00    0.15758E-09    0.63510E-04    0.89241E-05    0.15758E-09    0.25496E-10   -0.56166E-08   -0.13807E-01    0.63510E-04   -0.56166E-08    0.10799E-01
    68    0.17671E+04   -0.49069E+01    0.86233E-05   -0.13907E-01   -0.49069E+01    0.28719E+00    0.54395E-10    0.62990E-04    0.86233E-05    0.54395E-10    0.24609E-10   -0.56461E-08   -0.13907E-01    0.62990E-04   -0.56461E-08    0.11102E-01
    69    0.17908E+04   -0.53180E+01    0.83362E-05   -0.13971E-01   -0.53180E+01    0.29924E+00   -0.24582E-09    0.57590E-04    0.83362E-05   -0.24582E-09    0.23763E-10   -0.56700E-08   -0.13971E-01    0.57590E-04   -0.56700E-08    0.11408E-01
    70    0.18147E+04   -0.57380E+01    0.80639E-05   -0.13973E-01   -0.57380E+01    0.31152E+00   -0.75350E-09    0.47860E-04    0.80639E-05   -0.75350E-09    0.22954E-10   -0.56891E-08   -0.13973E-01    0.47860E-04   -0.56891E-08    0.11718E-01
    71    0.18388E+04   -0.61692E+01    0.78068E-05   -0.13896E-01   -0.61692E+01    0.32404E+00   -0.14528E-08    0.34552E-04    0.78068E-05   -0.14528E-08    0.22181E-10   -0.57044E-08   -0.13896E-01    0.34552E-04   -0.57044E-08    0.12031E-01
    72    0.18631E+04   -0.66131E+01    0.75637E-05   -0.13769E-01   -0.66131E+01    0.33676E+00   -0.22226E-08    0.19201E-04    0.75637E-05   -0.22226E-08    0.21441E-10   -0.57182E-08   -0.13769E-01    0.19201E-04   -0.57182E-08    0.12347E-01
    73    0.18875E+04   -0.70704E+01    0.73331E-05   -0.13633E-01   -0.70704E+01    0.34966E+00   -0.29157E-08    0.35418E-05    0.73331E-05   -0.29157E-08    0.20733E-10   -0.57332E-08   -0.13633E-01    0.35418E-05   -0.57332E-08    0.12668E-01
    74    0.19121E+04   -0.75402E+01    0.71134E-05   -0.13528E-01   -0.75402E+01    0.36271E+00   -0.33847E-08   -0.10691E-04    0.71134E-05   -0.33847E-08    0.20055E-10   -0.57517E-08   -0.13528E-01   -0.10691E-04   -0.57517E-08    0.12991E-01
    75    0.19371E+04   -0.80212E+01    0.69031E-05   -0.13495E-01   -0.80212E+01    0.37594E+00   -0.34822E-08   -0.21765E-04    0.69031E-05   -0.34822E-08    0.19405E-10   -0.57766E-08   -0.13495E-01   -0.21765E-04   -0.57766E-08    0.13318E-01
    76    0.19623E+04   -0.85127E+01    0.67006E-05   -0.13561E-01   -0.85127E+01    0.38934E+00   -0.31134E-08   -0.28399E-04    0.67006E-05   -0.31134E-08    0.18782E-10   -0.58094E-08   -0.13561E-01   -0.28399E-04   -0.58094E-08    0.13648E-01
    77    0.19878E+04   -0.90147E+01    0.65053E-05   -0.13700E-01   -0.90147E+01    0.40291E+00   -0.23928E-08   -0.31133E-04    0.65053E-05   -0.23928E-08    0.18185E-10   -0.58485E-08   -0.13700E-01   -0.31133E-04   -0.58485E-08    0.13982E-01
    78    0.20137E+04   -0.95286E+01    0.63165E-05   -0.13875E-01   -0.95286E+01    0.41666E+00   -0.14876E-08   -0.30961E-04    0.63165E-05   -0.14876E-08    0.17612E-10   -0.58917E-08   -0.13875E-01   -0.30961E-04   -0.58917E-08    0.14319E-01
    79    0.20398E+04   -0.10050E+02    0.61334E-05   -0.14048E-01   -0.10050E+02    0.43055E+00   -0.56467E-09   -0.28878E-04    0.61334E-05   -0.56467E-09    0.17062E-10   -0.59364E-08   -0.14048E-01   -0.28878E-04   -0.59364E-08    0.14660E-01
    80    0.20661E+04   -0.10582E+02    0.59555E-05   -0.14180E-01   -0.10582E+02    0.44458E+00    0.20883E-09   -0.25877E-04    0.59555E-05    0.20883E-09    0.16534E-10   -0.59801E-08   -0.14180E-01   -0.25877E-04   -0.59801E-08    0.15003E-01
    81    0.20926E+04   -0.11123E+02    0.57822E-05   -0.14243E-01   -0.11123E+02    0.45869E+00    0.69997E-09   -0.22790E-04    0.57822E-05    0.69997E-09    0.16026E-10   -0.60209E-08   -0.14243E-01   -0.22790E-04   -0.60209E-08    0.15350E-01
    82    0.21194E+04   -0.11673E+02    0.56138E-05   -0.14247E-01   -0.11673E+02    0.47292E+00    0.91206E-09   -0.19793E-04    0.56138E-05    0.91206E-09    0.15539E-10   -0.60583E-08   -0.14247E-01   -0.19793E-04   -0.60583E-08    0.15699E-01
    83    0.21463E+04   -0.12231E+02    0.54505E-05   -0.14211E-01   -0.12231E+02    0.48723E+00    0.88247E-09   -0.16901E-04    0.54505E-05    0.88247E-09    0.15070E-10   -0.60920E-08   -0.14211E-01   -0.16901E-04   -0.60920E-08    0.16051E-01
    84    0.21735E+04   -0.12796E+02    0.52928E-05   -0.14155E-01   -0.12796E+02    0.50162E+00    0.64860E-09   -0.14128E-04    0.52928E-05    0.64860E-09    0.14620E-10   -0.61220E-08   -0.14155E-01   -0.14128E-04   -0.61220E-08    0.16407E-01
    85    0.22009E+04   -0.13369E+02    0.51409E-05   -0.14099E-01   -0.13369E+02    0.51607E+00    0.24782E-09   -0.11487E-04    0.51409E-05    0.24782E-09    0.14187E-10   -0.61481E-08   -0.14099E-01   -0.11487E-04   -0.61481E-08    0.16765E-01
    86    0.22284E+04   -0.13947E+02    0.49952E-05   -0.14059E-01   -0.13947E+02    0.53058E+00   -0.27979E-09   -0.89942E-05    0.49952E-05   -0.27979E-09    0.13770E-10   -0.61703E-08   -0.14059E-01   -0.89942E-05   -0.61703E-08    0.17127E-01
    87    0.22563E+04   -0.14532E+02    0.48554E-05   -0.14040E-01   -0.14532E+02    0.54514E+00   -0.88350E-09   -0.66739E-05    0.48554E-05   -0.88350E-09    0.13369E-10   -0.61893E-08   -0.14040E-01   -0.66739E-05   -0.61893E-08    0.17491E-01
    88    0.22842E+04   -0.15122E+02    0.47209E-05   -0.14042E-01   -0.15122E+02    0.55975E+00   -0.15099E-08   -0.45519E-05    0.47209E-05   -0.15099E-08    0.12983E-10   -0.62060E-08   -0.14042E-01   -0.45519E-05   -0.62060E-08    0.17858E-01
    89    0.23125E+04   -0.15720E+02    0.45916E-05   -0.14066E-01   -0.15720E+02    0.57440E+00   -0.21055E-08   -0.26544E-05    0.45916E-05   -0.21055E-08    0.12611E-10   -0.62212E-08   -0.14066E-01   -0.26544E-05   -0.62212E-08    0.18229E-01
    90    0.23410E+04   -0.16322E+02    0.44669E-05   -0.14113E-01   -0.16322E+02    0.58905E+00   -0.26169E-08   -0.10073E-05    0.44669E-05   -0.26169E-08    0.12252E-10   -0.62357E-08   -0.14113E-01   -0.10073E-05   -0.62357E-08    0.18602E-01
    91    0.23696E+04   -0.16929E+02    0.43464E-05   -0.14183E-01   -0.16929E+02    0.60369E+00   -0.30013E-08    0.37045E-06    0.43464E-05   -0.30013E-08    0.11905E-10   -0.62503E-08   -0.14183E-01    0.37045E-06   -0.62503E-08    0.18978E-01
    92    0.23985E+04   -0.17541E+02    0.42301E-05   -0.14275E-01   -0.17541E+02    0.61832E+00   -0.32583E-08    0.14886E-05    0.42301E-05   -0.32583E-08    0.11571E-10   -0.62651E-08   -0.14275E-01    0.14886E-05   -0.62651E-08    0.19357E-01
    93    0.24277E+04   -0.18158E+02    0.41178E-05   -0.14386E-01   -0.18158E+02    0.63292E+00   -0.33980E-08    0.23641E-05    0.41178E-05   -0.33980E-08    0.11248E-10   -0.62799E-08   -0.14386E-01    0.23641E-05   -0.62799E-08    0.19739E-01
    94    0.24569E+04   -0.18778E+02    0.40094E-05   -0.14514E-01   -0.18778E+02    0.64745E+00   -0.34307E-08    0.30136E-05    0.40094E-05   -0.34307E-08    0.10936E-10   -0.62948E-08   -0.14514E-01    0.30136E-05   -0.62948E-08    0.20124E-01
    95    0.24864E+04   -0.19402E+02    0.39047E-05   -0.14657E-01   -0.19402E+02    0.66193E+00   -0.33665E-08    0.34541E-05    0.39047E-05   -0.33665E-08    0.10635E-10   -0.63097E-08   -0.14657E-01    0.34541E-05   -0.63097E-08    0.20511E-01
    96    0.25159E+04   -0.20030E+02    0.38036E-05   -0.14811E-01   -0.20030E+02    0.67633E+00   -0.32156E-08    0.37024E-05    0.38036E-05   -0.32156E-08    0.10345E-10   -0.63245E-08   -0.14811E-01    0.37024E-05   -0.63245E-08    0.20901E-01
    97    0.25459E+04   -0.20659E+02    0.37059E-05   -0.14975E-01   -0.20659E+02    0.69064E+00   -0.29883E-08    0.37753E-05    0.37059E-05   -0.29883E-08    0.10065E-10   -0.63392E-08   -0.14975E-01    0.37753E-05   -0.63392E-08    0.21294E-01
