#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    35    0.11026E+04    0.18188E+01    0.33429E-04    0.45238E-01    0.18188E+01    0.34900E-01   -0.32478E-07   -0.67625E-09    0.33429E-04   -0.32478E-07    0.10506E-09    0.27310E-06    0.45238E-01   -0.67625E-09    0.27310E-06    0.24652E-01
    36    0.11195E+04    0.17967E+01    0.31688E-04    0.43608E-01    0.17967E+01    0.38374E-01   -0.24500E-07    0.11224E-09    0.31688E-04   -0.24500E-07    0.99280E-10    0.26322E-06    0.43608E-01    0.11224E-09    0.26322E-06    0.25032E-01
    37    0.11366E+04    0.17642E+01    0.30077E-04    0.42042E-01    0.17642E+01    0.42076E-01   -0.16305E-07    0.12428E-08    0.30077E-04   -0.16305E-07    0.93925E-10    0.25380E-06    0.42042E-01    0.12428E-08    0.25380E-06    0.25398E-01
    38    0.11541E+04    0.17192E+01    0.28598E-04    0.40532E-01    0.17192E+01    0.46002E-01   -0.10942E-07    0.19675E-08    0.28598E-04   -0.10942E-07    0.88958E-10    0.24481E-06    0.40532E-01    0.19675E-08    0.24481E-06    0.25757E-01
    39    0.11720E+04    0.16636E+01    0.27233E-04    0.39079E-01    0.16636E+01    0.50165E-01   -0.79303E-08    0.23042E-08    0.27233E-04   -0.79303E-08    0.84343E-10    0.23626E-06    0.39079E-01    0.23042E-08    0.23626E-06    0.26113E-01
    40    0.11900E+04    0.16005E+01    0.25961E-04    0.37693E-01    0.16005E+01    0.54584E-01   -0.59064E-08    0.24621E-08    0.25961E-04   -0.59064E-08    0.80048E-10    0.22815E-06    0.37693E-01    0.24621E-08    0.22815E-06    0.26471E-01
    41    0.12082E+04    0.15318E+01    0.24762E-04    0.36376E-01    0.15318E+01    0.59281E-01   -0.37890E-08    0.26016E-08    0.24762E-04   -0.37890E-08    0.76042E-10    0.22045E-06    0.36376E-01    0.26016E-08    0.22045E-06    0.26835E-01
    42    0.12264E+04    0.14555E+01    0.23631E-04    0.35129E-01    0.14555E+01    0.64257E-01   -0.16309E-08    0.26864E-08    0.23631E-04   -0.16309E-08    0.72302E-10    0.21316E-06    0.35129E-01    0.26864E-08    0.21316E-06    0.27205E-01
    43    0.12448E+04    0.13687E+01    0.22565E-04    0.33947E-01    0.13687E+01    0.69507E-01    0.23186E-09    0.26312E-08    0.22565E-04    0.23186E-09    0.68808E-10    0.20626E-06    0.33947E-01    0.26312E-08    0.20626E-06    0.27584E-01
    44    0.12632E+04    0.12696E+01    0.21563E-04    0.32828E-01    0.12696E+01    0.75014E-01    0.14632E-08    0.23507E-08    0.21563E-04    0.14632E-08    0.65540E-10    0.19973E-06    0.32828E-01    0.23507E-08    0.19973E-06    0.27970E-01
    45    0.12819E+04    0.11562E+01    0.20622E-04    0.31768E-01    0.11562E+01    0.80769E-01    0.17269E-08    0.17597E-08    0.20622E-04    0.17269E-08    0.62479E-10    0.19357E-06    0.31768E-01    0.17597E-08    0.19357E-06    0.28365E-01
    46    0.13009E+04    0.10255E+01    0.19738E-04    0.30764E-01    0.10255E+01    0.86768E-01    0.81383E-09    0.81027E-09    0.19738E-04    0.81383E-09    0.59604E-10    0.18773E-06    0.30764E-01    0.81027E-09    0.18773E-06    0.28769E-01
    47    0.13201E+04    0.87929E+00    0.18907E-04    0.29812E-01    0.87929E+00    0.93014E-01   -0.97811E-09   -0.39504E-09    0.18907E-04   -0.97811E-09    0.56903E-10    0.18222E-06    0.29812E-01   -0.39504E-09    0.18222E-06    0.29179E-01
    48    0.13393E+04    0.72314E+00    0.18123E-04    0.28911E-01    0.72314E+00    0.99518E-01   -0.32241E-08   -0.17163E-08    0.18123E-04   -0.32241E-08    0.54365E-10    0.17701E-06    0.28911E-01   -0.17163E-08    0.17701E-06    0.29593E-01
    49    0.13587E+04    0.56217E+00    0.17380E-04    0.28055E-01    0.56217E+00    0.10627E+00   -0.54994E-08   -0.30136E-08    0.17380E-04   -0.54994E-08    0.51977E-10    0.17207E-06    0.28055E-01   -0.30136E-08    0.17207E-06    0.30008E-01
    50    0.13785E+04    0.39467E+00    0.16673E-04    0.27243E-01    0.39467E+00    0.11325E+00   -0.73791E-08   -0.41470E-08    0.16673E-04   -0.73791E-08    0.49727E-10    0.16739E-06    0.27243E-01   -0.41470E-08    0.16739E-06    0.30423E-01
    51    0.13985E+04    0.21709E+00    0.15998E-04    0.26470E-01    0.21709E+00    0.12043E+00   -0.85334E-08   -0.49952E-08    0.15998E-04   -0.85334E-08    0.47604E-10    0.16294E-06    0.26470E-01   -0.49952E-08    0.16294E-06    0.30834E-01
    52    0.14189E+04    0.24211E-01    0.15353E-04    0.25734E-01    0.24211E-01    0.12790E+00   -0.90127E-08   -0.55122E-08    0.15353E-04   -0.90127E-08    0.45601E-10    0.15871E-06    0.25734E-01   -0.55122E-08    0.15871E-06    0.31241E-01
