#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    37    0.11366E+04    0.17643E+01    0.30079E-04    0.47872E-01    0.54923E-01    0.17643E+01    0.42076E-01   -0.16297E-07    0.43001E-08    0.26029E-07    0.30079E-04   -0.16297E-07    0.93923E-10    0.26326E-06    0.26971E-06    0.47872E-01    0.43001E-08    0.26326E-06    0.23462E-01    0.19158E-01    0.54923E-01    0.26029E-07    0.26971E-06    0.19158E-01    0.20667E-01
    38    0.11541E+04    0.17192E+01    0.28600E-04    0.46292E-01    0.53433E-01    0.17192E+01    0.46002E-01   -0.10940E-07    0.45349E-08    0.21460E-07    0.28600E-04   -0.10940E-07    0.88956E-10    0.25448E-06    0.26217E-06    0.46292E-01    0.45349E-08    0.25448E-06    0.23820E-01    0.19521E-01    0.53433E-01    0.21460E-07    0.26217E-06    0.19521E-01    0.21154E-01
    39    0.11720E+04    0.16637E+01    0.27235E-04    0.44753E-01    0.51962E-01    0.16637E+01    0.50165E-01   -0.79356E-08    0.35611E-08    0.13467E-07    0.27235E-04   -0.79356E-08    0.84341E-10    0.24602E-06    0.25476E-06    0.44753E-01    0.35611E-08    0.24602E-06    0.24154E-01    0.19853E-01    0.51962E-01    0.13467E-07    0.25476E-06    0.19853E-01    0.21606E-01
    40    0.11900E+04    0.16006E+01    0.25962E-04    0.43262E-01    0.50509E-01    0.16006E+01    0.54584E-01   -0.59160E-08    0.23651E-08    0.56832E-08    0.25962E-04   -0.59160E-08    0.80046E-10    0.23786E-06    0.24747E-06    0.43262E-01    0.23651E-08    0.23786E-06    0.24468E-01    0.20156E-01    0.50509E-01    0.56832E-08    0.24747E-06    0.20156E-01    0.22020E-01
    41    0.12082E+04    0.15318E+01    0.24763E-04    0.41824E-01    0.49076E-01    0.15318E+01    0.59281E-01   -0.37973E-08    0.17250E-08    0.97655E-09    0.24763E-04   -0.37973E-08    0.76040E-10    0.23003E-06    0.24031E-06    0.41824E-01    0.17250E-08    0.23003E-06    0.24770E-01    0.20433E-01    0.49076E-01    0.97655E-09    0.24031E-06    0.20433E-01    0.22398E-01
    42    0.12264E+04    0.14555E+01    0.23632E-04    0.40441E-01    0.47664E-01    0.14555E+01    0.64257E-01   -0.16337E-08    0.15865E-08   -0.85418E-09    0.23632E-04   -0.16337E-08    0.72300E-10    0.22252E-06    0.23328E-06    0.40441E-01    0.15865E-08    0.22252E-06    0.25063E-01    0.20689E-01    0.47664E-01   -0.85418E-09    0.23328E-06    0.20689E-01    0.22741E-01
    43    0.12448E+04    0.13688E+01    0.22567E-04    0.39112E-01    0.46277E-01    0.13688E+01    0.69507E-01    0.23585E-09    0.16866E-08   -0.77746E-09    0.22567E-04    0.23585E-09    0.68806E-10    0.21534E-06    0.22641E-06    0.39112E-01    0.16866E-08    0.21534E-06    0.25352E-01    0.20928E-01    0.46277E-01   -0.77746E-09    0.22641E-06    0.20928E-01    0.23054E-01
    44    0.12632E+04    0.12697E+01    0.21564E-04    0.37840E-01    0.44917E-01    0.12697E+01    0.75014E-01    0.14727E-08    0.17625E-08    0.23828E-09    0.21564E-04    0.14727E-08    0.65538E-10    0.20849E-06    0.21970E-06    0.37840E-01    0.17625E-08    0.20849E-06    0.25643E-01    0.21155E-01    0.44917E-01    0.23828E-09    0.21970E-06    0.21155E-01    0.23340E-01
    45    0.12819E+04    0.11563E+01    0.20623E-04    0.36624E-01    0.43588E-01    0.11563E+01    0.80769E-01    0.17379E-08    0.15515E-08    0.12246E-08    0.20623E-04    0.17379E-08    0.62476E-10    0.20196E-06    0.21318E-06    0.36624E-01    0.15515E-08    0.20196E-06    0.25939E-01    0.21375E-01    0.43588E-01    0.12246E-08    0.21318E-06    0.21375E-01    0.23603E-01
    46    0.13009E+04    0.10256E+01    0.19739E-04    0.35464E-01    0.42293E-01    0.10256E+01    0.86768E-01    0.82050E-09    0.85997E-09    0.14143E-08    0.19739E-04    0.82050E-09    0.59602E-10    0.19577E-06    0.20686E-06    0.35464E-01    0.85997E-09    0.19577E-06    0.26245E-01    0.21592E-01    0.42293E-01    0.14143E-08    0.20686E-06    0.21592E-01    0.23846E-01
    47    0.13201E+04    0.87937E+00    0.18908E-04    0.34360E-01    0.41033E-01    0.87937E+00    0.93014E-01   -0.97983E-09   -0.22809E-09    0.84554E-09    0.18908E-04   -0.97983E-09    0.56901E-10    0.18988E-06    0.20074E-06    0.34360E-01   -0.22809E-09    0.18988E-06    0.26561E-01    0.21809E-01    0.41033E-01    0.84554E-09    0.20074E-06    0.21809E-01    0.24075E-01
    48    0.13393E+04    0.72322E+00    0.18124E-04    0.33309E-01    0.39811E-01    0.72322E+00    0.99518E-01   -0.32356E-08   -0.15595E-08   -0.24245E-09    0.18124E-04   -0.32356E-08    0.54363E-10    0.18430E-06    0.19484E-06    0.33309E-01   -0.15595E-08    0.18430E-06    0.26888E-01    0.22030E-01    0.39811E-01   -0.24245E-09    0.19484E-06    0.22030E-01    0.24294E-01
    49    0.13587E+04    0.56225E+00    0.17381E-04    0.32309E-01    0.38630E-01    0.56225E+00    0.10627E+00   -0.55192E-08   -0.29811E-08   -0.16103E-08    0.17381E-04   -0.55192E-08    0.51975E-10    0.17902E-06    0.18916E-06    0.32309E-01   -0.29811E-08    0.17902E-06    0.27226E-01    0.22257E-01    0.38630E-01   -0.16103E-08    0.18916E-06    0.22257E-01    0.24508E-01
