#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    33    0.10690E+04    0.18409E+01    0.37311E-04    0.91691E-01    0.76665E-01    0.18409E+01    0.28637E-01   -0.36818E-07    0.33080E-05    0.13779E-04    0.37311E-04   -0.36818E-07    0.11808E-09    0.35119E-06    0.21966E-06    0.91691E-01    0.33080E-05    0.35119E-06    0.11693E-01    0.30095E-03    0.76665E-01    0.13779E-04    0.21966E-06    0.30095E-03    0.82928E-03
    34    0.10857E+04    0.18345E+01    0.35304E-04    0.89122E-01    0.76379E-01    0.18345E+01    0.31661E-01   -0.36891E-07    0.30267E-05    0.13016E-04    0.35304E-04   -0.36891E-07    0.11130E-09    0.34143E-06    0.21869E-06    0.89122E-01    0.30267E-05    0.34143E-06    0.12066E-01    0.31006E-03    0.76379E-01    0.13016E-04    0.21869E-06    0.31006E-03    0.87752E-03
    35    0.11025E+04    0.18188E+01    0.33433E-04    0.86714E-01    0.76044E-01    0.18188E+01    0.34900E-01   -0.32507E-07    0.27576E-05    0.12189E-04    0.33433E-04   -0.32507E-07    0.10504E-09    0.33228E-06    0.21759E-06    0.86714E-01    0.27576E-05    0.33228E-06    0.12447E-01    0.31924E-03    0.76044E-01    0.12189E-04    0.21759E-06    0.31924E-03    0.92629E-03
    36    0.11195E+04    0.17967E+01    0.31691E-04    0.84460E-01    0.75650E-01    0.17967E+01    0.38374E-01   -0.24550E-07    0.24930E-05    0.11300E-04    0.31691E-04   -0.24550E-07    0.99257E-10    0.32372E-06    0.21636E-06    0.84460E-01    0.24930E-05    0.32372E-06    0.12835E-01    0.32851E-03    0.75650E-01    0.11300E-04    0.21636E-06    0.32851E-03    0.97549E-03
    37    0.11366E+04    0.17642E+01    0.30080E-04    0.82348E-01    0.75209E-01    0.17642E+01    0.42076E-01   -0.16348E-07    0.22094E-05    0.10480E-04    0.30080E-04   -0.16348E-07    0.93902E-10    0.31569E-06    0.21501E-06    0.82348E-01    0.22094E-05    0.31569E-06    0.13232E-01    0.33787E-03    0.75209E-01    0.10480E-04    0.21501E-06    0.33787E-03    0.10251E-02
    38    0.11541E+04    0.17192E+01    0.28601E-04    0.80368E-01    0.74737E-01    0.17192E+01    0.46002E-01   -0.10959E-07    0.18891E-05    0.98923E-05    0.28601E-04   -0.10959E-07    0.88936E-10    0.30816E-06    0.21356E-06    0.80368E-01    0.18891E-05    0.30816E-06    0.13638E-01    0.34734E-03    0.74737E-01    0.98923E-05    0.21356E-06    0.34734E-03    0.10749E-02
    39    0.11720E+04    0.16637E+01    0.27236E-04    0.78509E-01    0.74236E-01    0.16637E+01    0.50165E-01   -0.79169E-08    0.15566E-05    0.96985E-05    0.27236E-04   -0.79169E-08    0.84321E-10    0.30107E-06    0.21201E-06    0.78509E-01    0.15566E-05    0.30107E-06    0.14051E-01    0.35693E-03    0.74236E-01    0.96985E-05    0.21201E-06    0.35693E-03    0.11250E-02
    40    0.11900E+04    0.16006E+01    0.25963E-04    0.76757E-01    0.73704E-01    0.16006E+01    0.54584E-01   -0.58740E-08    0.12469E-05    0.10061E-04    0.25963E-04   -0.58740E-08    0.80027E-10    0.29438E-06    0.21037E-06    0.76757E-01    0.12469E-05    0.29438E-06    0.14473E-01    0.36664E-03    0.73704E-01    0.10061E-04    0.21037E-06    0.36664E-03    0.11752E-02
    41    0.12082E+04    0.15319E+01    0.24764E-04    0.75101E-01    0.73142E-01    0.15319E+01    0.59281E-01   -0.37616E-08    0.98773E-06    0.11067E-04    0.24764E-04   -0.37616E-08    0.76021E-10    0.28805E-06    0.20865E-06    0.75101E-01    0.98773E-06    0.28805E-06    0.14901E-01    0.37648E-03    0.73142E-01    0.11067E-04    0.20865E-06    0.37648E-03    0.12254E-02
    42    0.12264E+04    0.14555E+01    0.23633E-04    0.73533E-01    0.72551E-01    0.14555E+01    0.64257E-01   -0.16257E-08    0.77813E-06    0.12512E-04    0.23633E-04   -0.16257E-08    0.72281E-10    0.28202E-06    0.20686E-06    0.73533E-01    0.77813E-06    0.28202E-06    0.15335E-01    0.38644E-03    0.72551E-01    0.12512E-04    0.20686E-06    0.38644E-03    0.12756E-02
