#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27    0.97442E+03    0.16559E+01    0.53373E-04    0.11085E+00    0.69266E-01    0.16559E+01    0.14178E-01   -0.56060E-08    0.36909E-05    0.15527E-04    0.53373E-04   -0.56060E-08    0.17383E-09    0.42473E-06    0.19483E-06    0.11085E+00    0.36909E-05    0.42473E-06    0.95213E-02    0.31050E-04    0.69266E-01    0.15527E-04    0.19483E-06    0.31050E-04    0.49641E-03
    28    0.98948E+03    0.17018E+01    0.50067E-04    0.10722E+00    0.69527E-01    0.17018E+01    0.16144E-01   -0.10995E-07    0.37951E-05    0.15623E-04    0.50067E-04   -0.10995E-07    0.16230E-09    0.41069E-06    0.19555E-06    0.10722E+00    0.37951E-05    0.41069E-06    0.98861E-02    0.32361E-04    0.69527E-01    0.15623E-04    0.19555E-06    0.32361E-04    0.53586E-03
    29    0.10049E+04    0.17454E+01    0.47052E-04    0.10376E+00    0.69708E-01    0.17454E+01    0.18287E-01   -0.16118E-07    0.39192E-05    0.15524E-04    0.47052E-04   -0.16118E-07    0.15181E-09    0.39737E-06    0.19604E-06    0.10376E+00    0.39192E-05    0.39737E-06    0.10247E-01    0.33576E-04    0.69708E-01    0.15524E-04    0.19604E-06    0.33576E-04    0.57629E-03
    30    0.10205E+04    0.17834E+01    0.44304E-04    0.10048E+00    0.69824E-01    0.17834E+01    0.20624E-01   -0.21091E-07    0.39355E-05    0.15155E-04    0.44304E-04   -0.21091E-07    0.14223E-09    0.38477E-06    0.19630E-06    0.10048E+00    0.39355E-05    0.38477E-06    0.10606E-01    0.34714E-04    0.69824E-01    0.15155E-04    0.19630E-06    0.34714E-04    0.61761E-03
    31    0.10363E+04    0.18136E+01    0.41788E-04    0.97374E-01    0.69863E-01    0.18136E+01    0.23139E-01   -0.26529E-07    0.38216E-05    0.14605E-04    0.41788E-04   -0.26529E-07    0.13347E-09    0.37291E-06    0.19635E-06    0.97374E-01    0.38216E-05    0.37291E-06    0.10966E-01    0.35766E-04    0.69863E-01    0.14605E-04    0.19635E-06    0.35766E-04    0.65976E-03
    32    0.10524E+04    0.18337E+01    0.39465E-04    0.94456E-01    0.69816E-01    0.18337E+01    0.25806E-01   -0.32555E-07    0.35925E-05    0.13980E-04    0.39465E-04   -0.32555E-07    0.12545E-09    0.36177E-06    0.19622E-06    0.94456E-01    0.35925E-05    0.36177E-06    0.11329E-01    0.36728E-04    0.69816E-01    0.13980E-04    0.19622E-06    0.36728E-04    0.70269E-03
    33    0.10690E+04    0.18409E+01    0.37311E-04    0.91716E-01    0.69705E-01    0.18409E+01    0.28637E-01   -0.36817E-07    0.33081E-05    0.13310E-04    0.37311E-04   -0.36817E-07    0.11808E-09    0.35134E-06    0.19591E-06    0.91716E-01    0.33081E-05    0.35134E-06    0.11697E-01    0.37622E-04    0.69705E-01    0.13310E-04    0.19591E-06    0.37622E-04    0.74630E-03
    34    0.10857E+04    0.18345E+01    0.35304E-04    0.89146E-01    0.69550E-01    0.18345E+01    0.31661E-01   -0.36891E-07    0.30268E-05    0.12596E-04    0.35304E-04   -0.36891E-07    0.11130E-09    0.34157E-06    0.19544E-06    0.89146E-01    0.30268E-05    0.34157E-06    0.12070E-01    0.38477E-04    0.69550E-01    0.12596E-04    0.19544E-06    0.38477E-04    0.79053E-03
    35    0.11025E+04    0.18188E+01    0.33433E-04    0.86738E-01    0.69344E-01    0.18188E+01    0.34900E-01   -0.32507E-07    0.27576E-05    0.11808E-04    0.33433E-04   -0.32507E-07    0.10504E-09    0.33242E-06    0.19483E-06    0.86738E-01    0.27576E-05    0.33242E-06    0.12451E-01    0.39309E-04    0.69344E-01    0.11808E-04    0.19483E-06    0.39309E-04    0.83528E-03
    36    0.11195E+04    0.17967E+01    0.31690E-04    0.84483E-01    0.69077E-01    0.17967E+01    0.38374E-01   -0.24550E-07    0.24931E-05    0.10942E-04    0.31690E-04   -0.24550E-07    0.99257E-10    0.32385E-06    0.19407E-06    0.84483E-01    0.24931E-05    0.32385E-06    0.12839E-01    0.40130E-04    0.69077E-01    0.10942E-04    0.19407E-06    0.40130E-04    0.88048E-03
