#    L    TT             EE             TE             PP             TP          
   156    0.44698E+04    0.99028E+00   -0.43971E+02    0.30123E+07    0.26891E+04
   157    0.45003E+04    0.98312E+00   -0.43842E+02    0.29943E+07    0.26553E+04
   158    0.45305E+04    0.97567E+00   -0.43689E+02    0.29764E+07    0.26220E+04
   159    0.45604E+04    0.96780E+00   -0.43510E+02    0.29587E+07    0.25892E+04
   160    0.45901E+04    0.95965E+00   -0.43306E+02    0.29411E+07    0.25569E+04
   161    0.46195E+04    0.95130E+00   -0.43076E+02    0.29237E+07    0.25250E+04
   162    0.46487E+04    0.94259E+00   -0.42822E+02    0.29064E+07    0.24936E+04
   163    0.46776E+04    0.93361E+00   -0.42542E+02    0.28893E+07    0.24627E+04
   164    0.47062E+04    0.92442E+00   -0.42236E+02    0.28723E+07    0.24323E+04
   165    0.47345E+04    0.91495E+00   -0.41904E+02    0.28555E+07    0.24023E+04
   166    0.47626E+04    0.90535E+00   -0.41546E+02    0.28388E+07    0.23728E+04
   167    0.47904E+04    0.89540E+00   -0.41163E+02    0.28222E+07    0.23437E+04
   168    0.48178E+04    0.88546E+00   -0.40753E+02    0.28058E+07    0.23152E+04
   169    0.48448E+04    0.87525E+00   -0.40316E+02    0.27896E+07    0.22871E+04
   170    0.48716E+04    0.86498E+00   -0.39853E+02    0.27734E+07    0.22594E+04
   171    0.48979E+04    0.85465E+00   -0.39362E+02    0.27574E+07    0.22323E+04
   172    0.49237E+04    0.84418E+00   -0.38845E+02    0.27416E+07    0.22056E+04
   173    0.49492E+04    0.83359E+00   -0.38302E+02    0.27259E+07    0.21793E+04
   174    0.49743E+04    0.82316E+00   -0.37732E+02    0.27103E+07    0.21536E+04
   175    0.49990E+04    0.81260E+00   -0.37135E+02    0.26949E+07    0.21283E+04
   176    0.50232E+04    0.80212E+00   -0.36510E+02    0.26796E+07    0.21034E+04
   177    0.50470E+04    0.79167E+00   -0.35860E+02    0.26644E+07    0.20790E+04
   178    0.50703E+04    0.78145E+00   -0.35183E+02    0.26493E+07    0.20551E+04
   179    0.50932E+04    0.77116E+00   -0.34479E+02    0.26344E+07    0.20316E+04
   180    0.51157E+04    0.76104E+00   -0.33749E+02    0.26196E+07    0.20085E+04
   181    0.51377E+04    0.75108E+00   -0.32993E+02    0.26050E+07    0.19859E+04
   182    0.51593E+04    0.74135E+00   -0.32210E+02    0.25904E+07    0.19636E+04
   183    0.51803E+04    0.73178E+00   -0.31402E+02    0.25760E+07    0.19417E+04
   184    0.52009E+04    0.72244E+00   -0.30567E+02    0.25617E+07    0.19202E+04
   185    0.52211E+04    0.71348E+00   -0.29708E+02    0.25476E+07    0.18991E+04
   186    0.52404E+04    0.70476E+00   -0.28822E+02    0.25335E+07    0.18784E+04
   187    0.52596E+04    0.69642E+00   -0.27910E+02    0.25196E+07    0.18580E+04
   188    0.52783E+04    0.68843E+00   -0.26974E+02    0.25058E+07    0.18379E+04
   189    0.52963E+04    0.68085E+00   -0.26012E+02    0.24921E+07    0.18182E+04
   190    0.53142E+04    0.67371E+00   -0.25028E+02    0.24785E+07    0.17988E+04
   191    0.53312E+04    0.66705E+00   -0.24016E+02    0.24651E+07    0.17797E+04
   192    0.53478E+04    0.66088E+00   -0.22981E+02    0.24517E+07    0.17609E+04
   193    0.53639E+04    0.65524E+00   -0.21923E+02    0.24385E+07    0.17424E+04
   194    0.53795E+04    0.65017E+00   -0.20841E+02    0.24254E+07    0.17241E+04
   195    0.53946E+04    0.64570E+00   -0.19735E+02    0.24124E+07    0.17062E+04
   196    0.54090E+04    0.64186E+00   -0.18607E+02    0.23995E+07    0.16885E+04
   197    0.54231E+04    0.63871E+00   -0.17456E+02    0.23867E+07    0.16710E+04
   198    0.54366E+04    0.63626E+00   -0.16284E+02    0.23740E+07    0.16538E+04
   199    0.54495E+04    0.63455E+00   -0.15089E+02    0.23614E+07    0.16368E+04
   200    0.54620E+04    0.63360E+00   -0.13873E+02    0.23489E+07    0.16200E+04
   201    0.54739E+04    0.63348E+00   -0.12635E+02    0.23365E+07    0.16035E+04
   202    0.54852E+04    0.63420E+00   -0.11378E+02    0.23242E+07    0.15871E+04
   203    0.54960E+04    0.63580E+00   -0.10099E+02    0.23120E+07    0.15710E+04
   204    0.55061E+04    0.63832E+00   -0.88017E+01    0.22999E+07    0.15550E+04
   205    0.55157E+04    0.64179E+00   -0.74843E+01    0.22880E+07    0.15393E+04
   206    0.55246E+04    0.64626E+00   -0.61479E+01    0.22761E+07    0.15237E+04
   207    0.55330E+04    0.65174E+00   -0.47927E+01    0.22643E+07    0.15084E+04
   208    0.55407E+04    0.65829E+00   -0.34195E+01    0.22526E+07    0.14932E+04
   209    0.55478E+04    0.66592E+00   -0.20284E+01    0.22410E+07    0.14782E+04
   210    0.55542E+04    0.67469E+00   -0.62039E+00    0.22295E+07    0.14634E+04
   211    0.55601E+04    0.68462E+00    0.80447E+00    0.22180E+07    0.14488E+04
   212    0.55653E+04    0.69575E+00    0.22453E+01    0.22067E+07    0.14344E+04
   213    0.55699E+04    0.70812E+00    0.37021E+01    0.21955E+07    0.14202E+04
   214    0.55739E+04    0.72172E+00    0.51737E+01    0.21843E+07    0.14061E+04
   215    0.55773E+04    0.73675E+00    0.66594E+01    0.21733E+07    0.13923E+04
   216    0.55800E+04    0.75301E+00    0.81597E+01    0.21623E+07    0.13786E+04
   217    0.55822E+04    0.77066E+00    0.96727E+01    0.21515E+07    0.13651E+04
   218    0.55838E+04    0.78970E+00    0.11198E+02    0.21407E+07    0.13517E+04
   219    0.55847E+04    0.81013E+00    0.12738E+02    0.21300E+07    0.13385E+04
   220    0.55851E+04    0.83210E+00    0.14287E+02    0.21194E+07    0.13255E+04
   221    0.55849E+04    0.85553E+00    0.15848E+02    0.21088E+07    0.13127E+04
   222    0.55841E+04    0.88057E+00    0.17419E+02    0.20984E+07    0.13000E+04
   223    0.55825E+04    0.90714E+00    0.19000E+02    0.20880E+07    0.12875E+04
   224    0.55805E+04    0.93525E+00    0.20589E+02    0.20777E+07    0.12752E+04
   225    0.55779E+04    0.96504E+00    0.22188E+02    0.20675E+07    0.12630E+04
   226    0.55746E+04    0.99651E+00    0.23794E+02    0.20574E+07    0.12510E+04
   227    0.55707E+04    0.10297E+01    0.25407E+02    0.20474E+07    0.12391E+04
   228    0.55663E+04    0.10645E+01    0.27028E+02    0.20374E+07    0.12274E+04
   229    0.55613E+04    0.11011E+01    0.28653E+02    0.20275E+07    0.12158E+04
   230    0.55556E+04    0.11394E+01    0.30284E+02    0.20177E+07    0.12044E+04
   231    0.55493E+04    0.11796E+01    0.31920E+02    0.20080E+07    0.11931E+04
   232    0.55424E+04    0.12215E+01    0.33559E+02    0.19983E+07    0.11820E+04
   233    0.55350E+04    0.12653E+01    0.35201E+02    0.19888E+07    0.11710E+04
   234    0.55268E+04    0.13110E+01    0.36846E+02    0.19792E+07    0.11601E+04
   235    0.55181E+04    0.13586E+01    0.38492E+02    0.19698E+07    0.11494E+04
   236    0.55087E+04    0.14081E+01    0.40139E+02    0.19605E+07    0.11389E+04
   237    0.54988E+04    0.14596E+01    0.41787E+02    0.19512E+07    0.11284E+04
   238    0.54883E+04    0.15131E+01    0.43434E+02    0.19419E+07    0.11181E+04
   239    0.54772E+04    0.15685E+01    0.45081E+02    0.19328E+07    0.11079E+04
   240    0.54654E+04    0.16258E+01    0.46724E+02    0.19237E+07    0.10979E+04
   241    0.54532E+04    0.16853E+01    0.48365E+02    0.19147E+07    0.10880E+04
   242    0.54404E+04    0.17467E+01    0.50004E+02    0.19058E+07    0.10782E+04
   243    0.54270E+04    0.18103E+01    0.51638E+02    0.18969E+07    0.10685E+04
   244    0.54130E+04    0.18759E+01    0.53268E+02    0.18881E+07    0.10590E+04
   245    0.53984E+04    0.19436E+01    0.54892E+02    0.18793E+07    0.10496E+04
   246    0.53833E+04    0.20134E+01    0.56510E+02    0.18706E+07    0.10403E+04
   247    0.53676E+04    0.20852E+01    0.58121E+02    0.18620E+07    0.10311E+04
   248    0.53514E+04    0.21594E+01    0.59725E+02    0.18534E+07    0.10220E+04
   249    0.53348E+04    0.22355E+01    0.61321E+02    0.18449E+07    0.10130E+04
   250    0.53176E+04    0.23140E+01    0.62907E+02    0.18365E+07    0.10042E+04
   251    0.52999E+04    0.23945E+01    0.64484E+02    0.18281E+07    0.99542E+03
   252    0.52815E+04    0.24772E+01    0.66051E+02    0.18198E+07    0.98677E+03
   253    0.52629E+04    0.25620E+01    0.67606E+02    0.18115E+07    0.97823E+03
   254    0.52437E+04    0.26490E+01    0.69150E+02    0.18033E+07    0.96980E+03
   255    0.52240E+04    0.27382E+01    0.70682E+02    0.17952E+07    0.96146E+03
   256    0.52038E+04    0.28297E+01    0.72202E+02    0.17871E+07    0.95323E+03
   257    0.51832E+04    0.29232E+01    0.73702E+02    0.17790E+07    0.94509E+03
   258    0.51620E+04    0.30190E+01    0.75195E+02    0.17711E+07    0.93706E+03
