#    L    TT             EE             BB             TE             PP             TP             EP          
    95    0.24879E+04    0.66183E+00    0.00000E+00   -0.19412E+02    0.97201E-07    0.32360E-03   -0.34752E-06
    96    0.25175E+04    0.67623E+00    0.00000E+00   -0.20039E+02    0.96565E-07    0.30243E-03   -0.34584E-06
    97    0.25475E+04    0.69053E+00    0.00000E+00   -0.20670E+02    0.95933E-07    0.28013E-03   -0.33802E-06
    98    0.25777E+04    0.70474E+00    0.00000E+00   -0.21300E+02    0.95305E-07    0.25695E-03   -0.32479E-06
    99    0.26080E+04    0.71881E+00    0.00000E+00   -0.21934E+02    0.94680E-07    0.23314E-03   -0.30685E-06
   100    0.26386E+04    0.73275E+00    0.00000E+00   -0.22567E+02    0.94060E-07    0.20895E-03   -0.28489E-06
   101    0.26693E+04    0.74662E+00    0.00000E+00   -0.23203E+02    0.93443E-07    0.18462E-03   -0.25964E-06
   102    0.27005E+04    0.76027E+00    0.00000E+00   -0.23837E+02    0.92830E-07    0.16039E-03   -0.23179E-06
   103    0.27316E+04    0.77377E+00    0.00000E+00   -0.24473E+02    0.92221E-07    0.13652E-03   -0.20205E-06
   104    0.27630E+04    0.78713E+00    0.00000E+00   -0.25106E+02    0.91616E-07    0.11325E-03   -0.17112E-06
   105    0.27945E+04    0.80027E+00    0.00000E+00   -0.25738E+02    0.91015E-07    0.90827E-04   -0.13971E-06
   106    0.28262E+04    0.81327E+00    0.00000E+00   -0.26369E+02    0.90418E-07    0.69495E-04   -0.10852E-06
   107    0.28578E+04    0.82597E+00    0.00000E+00   -0.26997E+02    0.89826E-07    0.49501E-04   -0.78248E-07
   108    0.28898E+04    0.83846E+00    0.00000E+00   -0.27622E+02    0.89237E-07    0.31090E-04   -0.49603E-07
   109    0.29220E+04    0.85067E+00    0.00000E+00   -0.28244E+02    0.88653E-07    0.14508E-04   -0.23287E-07
   110    0.29542E+04    0.86258E+00    0.00000E+00   -0.28861E+02    0.88073E-07    0.00000E+00    0.00000E+00
   111    0.29866E+04    0.87428E+00    0.00000E+00   -0.29474E+02    0.87497E-07   -0.12254E-04    0.19712E-07
   112    0.30191E+04    0.88569E+00    0.00000E+00   -0.30082E+02    0.86926E-07   -0.22335E-04    0.35930E-07
   113    0.30519E+04    0.89681E+00    0.00000E+00   -0.30685E+02    0.86359E-07   -0.30392E-04    0.48890E-07
   114    0.30847E+04    0.90757E+00    0.00000E+00   -0.31281E+02    0.85796E-07   -0.36571E-04    0.58831E-07
   115    0.31177E+04    0.91812E+00    0.00000E+00   -0.31871E+02    0.85238E-07   -0.41021E-04    0.65988E-07
   116    0.31507E+04    0.92824E+00    0.00000E+00   -0.32453E+02    0.84683E-07   -0.43887E-04    0.70599E-07
   117    0.31841E+04    0.93799E+00    0.00000E+00   -0.33027E+02    0.84133E-07   -0.45317E-04    0.72899E-07
   118    0.32175E+04    0.94754E+00    0.00000E+00   -0.33593E+02    0.83588E-07   -0.45458E-04    0.73126E-07
   119    0.32510E+04    0.95672E+00    0.00000E+00   -0.34150E+02    0.83046E-07   -0.44457E-04    0.71516E-07
   120    0.32846E+04    0.96540E+00    0.00000E+00   -0.34697E+02    0.82509E-07   -0.42461E-04    0.68304E-07
   121    0.33182E+04    0.97386E+00    0.00000E+00   -0.35235E+02    0.81976E-07   -0.39616E-04    0.63728E-07
   122    0.33518E+04    0.98182E+00    0.00000E+00   -0.35761E+02    0.81447E-07   -0.36068E-04    0.58022E-07
   123    0.33855E+04    0.98935E+00    0.00000E+00   -0.36278E+02    0.80922E-07   -0.31966E-04    0.51422E-07
   124    0.34193E+04    0.99652E+00    0.00000E+00   -0.36781E+02    0.80402E-07   -0.27455E-04    0.44165E-07
   125    0.34530E+04    0.10033E+01    0.00000E+00   -0.37272E+02    0.79886E-07   -0.22681E-04    0.36486E-07
   126    0.34869E+04    0.10096E+01    0.00000E+00   -0.37752E+02    0.79374E-07   -0.17791E-04    0.28620E-07
   127    0.35207E+04    0.10155E+01    0.00000E+00   -0.38218E+02    0.78866E-07   -0.12932E-04    0.20803E-07
   128    0.35544E+04    0.10210E+01    0.00000E+00   -0.38672E+02    0.78363E-07   -0.82498E-05    0.13271E-07
   129    0.35883E+04    0.10260E+01    0.00000E+00   -0.39111E+02    0.77863E-07   -0.38903E-05    0.62581E-08
   130    0.36221E+04    0.10305E+01    0.00000E+00   -0.39534E+02    0.77368E-07    0.00000E+00    0.00000E+00
   131    0.36559E+04    0.10347E+01    0.00000E+00   -0.39944E+02    0.76877E-07    0.33057E-05   -0.53177E-08
   132    0.36897E+04    0.10383E+01    0.00000E+00   -0.40338E+02    0.76390E-07    0.60343E-05   -0.97071E-08
   133    0.37235E+04    0.10416E+01    0.00000E+00   -0.40717E+02    0.75908E-07    0.82241E-05   -0.13230E-07
