#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    33    0.10690E+04    0.18409E+01    0.37311E-04    0.91270E-01    0.69767E-01    0.18409E+01    0.28637E-01   -0.36818E-07    0.32639E-05    0.13339E-04    0.37311E-04   -0.36818E-07    0.11808E-09    0.35025E-06    0.19597E-06    0.91270E-01    0.32639E-05    0.35025E-06    0.11927E-01    0.33627E-04    0.69767E-01    0.13339E-04    0.19597E-06    0.33627E-04    0.75697E-03
    34    0.10857E+04    0.18346E+01    0.35304E-04    0.88733E-01    0.69608E-01    0.18346E+01    0.31661E-01   -0.36891E-07    0.29815E-05    0.12615E-04    0.35304E-04   -0.36891E-07    0.11130E-09    0.34055E-06    0.19549E-06    0.88733E-01    0.29815E-05    0.34055E-06    0.12294E-01    0.34584E-04    0.69608E-01    0.12615E-04    0.19549E-06    0.34584E-04    0.80123E-03
    35    0.11026E+04    0.18189E+01    0.33433E-04    0.86356E-01    0.69397E-01    0.18189E+01    0.34900E-01   -0.32507E-07    0.27131E-05    0.11810E-04    0.33433E-04   -0.32507E-07    0.10504E-09    0.33148E-06    0.19487E-06    0.86356E-01    0.27131E-05    0.33148E-06    0.12669E-01    0.35516E-04    0.69397E-01    0.11810E-04    0.19487E-06    0.35516E-04    0.84600E-03
    36    0.11195E+04    0.17967E+01    0.31691E-04    0.84130E-01    0.69126E-01    0.17967E+01    0.38374E-01   -0.24550E-07    0.24502E-05    0.10921E-04    0.31691E-04   -0.24550E-07    0.99257E-10    0.32299E-06    0.19411E-06    0.84130E-01    0.24502E-05    0.32299E-06    0.13053E-01    0.36434E-04    0.69126E-01    0.10921E-04    0.19411E-06    0.36434E-04    0.89122E-03
    37    0.11366E+04    0.17643E+01    0.30080E-04    0.82045E-01    0.68805E-01    0.17643E+01    0.42076E-01   -0.16348E-07    0.21679E-05    0.10091E-04    0.30080E-04   -0.16348E-07    0.93903E-10    0.31503E-06    0.19322E-06    0.82045E-01    0.21679E-05    0.31503E-06    0.13445E-01    0.37346E-04    0.68805E-01    0.10091E-04    0.19322E-06    0.37346E-04    0.93681E-03
    38    0.11541E+04    0.17192E+01    0.28601E-04    0.80091E-01    0.68452E-01    0.17192E+01    0.46002E-01   -0.10959E-07    0.18477E-05    0.94954E-05    0.28601E-04   -0.10959E-07    0.88936E-10    0.30756E-06    0.19222E-06    0.80091E-01    0.18477E-05    0.30756E-06    0.13847E-01    0.38261E-04    0.68452E-01    0.94954E-05    0.19222E-06    0.38261E-04    0.98269E-03
    39    0.11720E+04    0.16637E+01    0.27236E-04    0.78255E-01    0.68067E-01    0.16637E+01    0.50165E-01   -0.79169E-08    0.15147E-05    0.92991E-05    0.27236E-04   -0.79169E-08    0.84321E-10    0.30053E-06    0.19110E-06    0.78255E-01    0.15147E-05    0.30053E-06    0.14257E-01    0.39196E-04    0.68067E-01    0.92991E-05    0.19110E-06    0.39196E-04    0.10288E-02
    40    0.11900E+04    0.16007E+01    0.25963E-04    0.76526E-01    0.67650E-01    0.16007E+01    0.54584E-01   -0.58740E-08    0.12049E-05    0.96617E-05    0.25963E-04   -0.58740E-08    0.80027E-10    0.29390E-06    0.18989E-06    0.76526E-01    0.12049E-05    0.29390E-06    0.14675E-01    0.40172E-04    0.67650E-01    0.96617E-05    0.18989E-06    0.40172E-04    0.10750E-02
    41    0.12082E+04    0.15319E+01    0.24764E-04    0.74891E-01    0.67200E-01    0.15319E+01    0.59281E-01   -0.37616E-08    0.94674E-06    0.10670E-04    0.24764E-04   -0.37616E-08    0.76021E-10    0.28761E-06    0.18858E-06    0.74891E-01    0.94674E-06    0.28761E-06    0.15101E-01    0.41207E-04    0.67200E-01    0.10670E-04    0.18858E-06    0.41207E-04    0.11213E-02
    42    0.12264E+04    0.14556E+01    0.23633E-04    0.73341E-01    0.66719E-01    0.14556E+01    0.64257E-01   -0.16257E-08    0.73936E-06    0.12117E-04    0.23633E-04   -0.16257E-08    0.72281E-10    0.28164E-06    0.18719E-06    0.73341E-01    0.73936E-06    0.28164E-06    0.15532E-01    0.42310E-04    0.66719E-01    0.12117E-04    0.18719E-06    0.42310E-04    0.11677E-02
    43    0.12448E+04    0.13688E+01    0.22567E-04    0.71866E-01    0.66208E-01    0.13688E+01    0.69508E-01    0.20892E-09    0.57437E-06    0.13721E-04    0.22567E-04    0.20892E-09    0.68788E-10    0.27594E-06    0.18573E-06    0.71866E-01    0.57437E-06    0.27594E-06    0.15968E-01    0.43487E-04    0.66208E-01    0.13721E-04    0.18573E-06    0.43487E-04    0.12139E-02
    44    0.12632E+04    0.12696E+01    0.21565E-04    0.70458E-01    0.65671E-01    0.12696E+01    0.75014E-01    0.14174E-08    0.44340E-06    0.15203E-04    0.21565E-04    0.14174E-08    0.65521E-10    0.27048E-06    0.18419E-06    0.70458E-01    0.44340E-06    0.27048E-06    0.16405E-01    0.44745E-04    0.65671E-01    0.15203E-04    0.18419E-06    0.44745E-04    0.12601E-02
    45    0.12819E+04    0.11563E+01    0.20624E-04    0.69107E-01    0.65110E-01    0.11563E+01    0.80769E-01    0.16751E-08    0.33810E-06    0.16281E-04    0.20624E-04    0.16751E-08    0.62459E-10    0.26523E-06    0.18259E-06    0.69107E-01    0.33810E-06    0.26523E-06    0.16844E-01    0.46091E-04    0.65110E-01    0.16281E-04    0.18259E-06    0.46091E-04    0.13061E-02
