#    L    TT             EE             TE             PP             TP          
   149    0.42519E+04    0.10299E+01   -0.44208E+02    0.31644E+07    0.19200E+02
   150    0.42836E+04    0.10255E+01   -0.44245E+02    0.31455E+07    0.00000E+00
   151    0.43153E+04    0.10206E+01   -0.44261E+02    0.31268E+07   -0.16835E+02
   152    0.43467E+04    0.10152E+01   -0.44253E+02    0.31082E+07   -0.31301E+02
   153    0.43779E+04    0.10094E+01   -0.44220E+02    0.30898E+07   -0.43526E+02
   154    0.44089E+04    0.10033E+01   -0.44164E+02    0.30715E+07   -0.53634E+02
   155    0.44396E+04    0.99686E+00   -0.44084E+02    0.30534E+07   -0.61752E+02
   156    0.44700E+04    0.99006E+00   -0.43979E+02    0.30354E+07   -0.68005E+02
   157    0.45004E+04    0.98291E+00   -0.43849E+02    0.30176E+07   -0.72520E+02
   158    0.45304E+04    0.97548E+00   -0.43695E+02    0.30000E+07   -0.75422E+02
   159    0.45601E+04    0.96762E+00   -0.43515E+02    0.29825E+07   -0.76837E+02
   160    0.45896E+04    0.95949E+00   -0.43309E+02    0.29651E+07   -0.76891E+02
   161    0.46189E+04    0.95115E+00   -0.43079E+02    0.29479E+07   -0.75710E+02
   162    0.46479E+04    0.94246E+00   -0.42823E+02    0.29309E+07   -0.73420E+02
   163    0.46767E+04    0.93350E+00   -0.42542E+02    0.29139E+07   -0.70147E+02
   164    0.47051E+04    0.92432E+00   -0.42235E+02    0.28972E+07   -0.66016E+02
   165    0.47333E+04    0.91487E+00   -0.41902E+02    0.28806E+07   -0.61154E+02
   166    0.47612E+04    0.90529E+00   -0.41543E+02    0.28641E+07   -0.55686E+02
   167    0.47889E+04    0.89535E+00   -0.41159E+02    0.28478E+07   -0.49739E+02
   168    0.48162E+04    0.88543E+00   -0.40748E+02    0.28316E+07   -0.43438E+02
   169    0.48431E+04    0.87523E+00   -0.40309E+02    0.28155E+07   -0.36909E+02
   170    0.48697E+04    0.86497E+00   -0.39846E+02    0.27996E+07   -0.30278E+02
   171    0.48959E+04    0.85465E+00   -0.39354E+02    0.27838E+07   -0.23671E+02
   172    0.49217E+04    0.84420E+00   -0.38836E+02    0.27682E+07   -0.17214E+02
   173    0.49470E+04    0.83362E+00   -0.38292E+02    0.27527E+07   -0.11032E+02
   174    0.49720E+04    0.82320E+00   -0.37722E+02    0.27373E+07   -0.52524E+01
   175    0.49967E+04    0.81265E+00   -0.37124E+02    0.27220E+07    0.00000E+00
   176    0.50208E+04    0.80218E+00   -0.36499E+02    0.27069E+07    0.46251E+01
   177    0.50445E+04    0.79173E+00   -0.35849E+02    0.26919E+07    0.86278E+01
   178    0.50678E+04    0.78151E+00   -0.35171E+02    0.26771E+07    0.12039E+02
   179    0.50906E+04    0.77123E+00   -0.34466E+02    0.26624E+07    0.14889E+02
   180    0.51131E+04    0.76112E+00   -0.33736E+02    0.26478E+07    0.17210E+02
   181    0.51350E+04    0.75116E+00   -0.32980E+02    0.26333E+07    0.19032E+02
   182    0.51565E+04    0.74143E+00   -0.32197E+02    0.26190E+07    0.20386E+02
   183    0.51775E+04    0.73186E+00   -0.31389E+02    0.26047E+07    0.21303E+02
   184    0.51981E+04    0.72252E+00   -0.30554E+02    0.25906E+07    0.21815E+02
   185    0.52183E+04    0.71356E+00   -0.29695E+02    0.25766E+07    0.21950E+02
   186    0.52376E+04    0.70483E+00   -0.28809E+02    0.25628E+07    0.21742E+02
   187    0.52568E+04    0.69648E+00   -0.27897E+02    0.25490E+07    0.21221E+02
   188    0.52755E+04    0.68850E+00   -0.26961E+02    0.25354E+07    0.20417E+02
   189    0.52935E+04    0.68091E+00   -0.26000E+02    0.25219E+07    0.19362E+02
   190    0.53115E+04    0.67377E+00   -0.25015E+02    0.25085E+07    0.18086E+02
   191    0.53285E+04    0.66709E+00   -0.24004E+02    0.24952E+07    0.16620E+02
   192    0.53451E+04    0.66092E+00   -0.22969E+02    0.24820E+07    0.14996E+02
   193    0.53612E+04    0.65527E+00   -0.21912E+02    0.24689E+07    0.13244E+02
   194    0.53769E+04    0.65019E+00   -0.20829E+02    0.24560E+07    0.11395E+02
   195    0.53920E+04    0.64571E+00   -0.19724E+02    0.24431E+07    0.94806E+01
   196    0.54065E+04    0.64187E+00   -0.18596E+02    0.24304E+07    0.75308E+01
   197    0.54205E+04    0.63871E+00   -0.17445E+02    0.24177E+07    0.55770E+01
   198    0.54341E+04    0.63625E+00   -0.16273E+02    0.24052E+07    0.36499E+01
   199    0.54471E+04    0.63452E+00   -0.15078E+02    0.23928E+07    0.17806E+01
   200    0.54596E+04    0.63357E+00   -0.13862E+02    0.23804E+07    0.00000E+00
   201    0.54716E+04    0.63344E+00   -0.12625E+02    0.23682E+07   -0.16667E+01
   202    0.54830E+04    0.63414E+00   -0.11367E+02    0.23561E+07   -0.32169E+01
   203    0.54938E+04    0.63574E+00   -0.10088E+02    0.23440E+07   -0.46536E+01
   204    0.55040E+04    0.63824E+00   -0.87907E+01    0.23321E+07   -0.59798E+01
   205    0.55137E+04    0.64171E+00   -0.74732E+01    0.23203E+07   -0.71985E+01
   206    0.55226E+04    0.64616E+00   -0.61366E+01    0.23085E+07   -0.83128E+01
   207    0.55311E+04    0.65163E+00   -0.47813E+01    0.22969E+07   -0.93258E+01
   208    0.55389E+04    0.65817E+00   -0.34078E+01    0.22853E+07   -0.10240E+02
   209    0.55460E+04    0.66579E+00   -0.20165E+01    0.22739E+07   -0.11060E+02
   210    0.55526E+04    0.67454E+00   -0.60825E+00    0.22625E+07   -0.11787E+02
   211    0.55586E+04    0.68447E+00    0.81687E+00    0.22512E+07   -0.12424E+02
   212    0.55639E+04    0.69559E+00    0.22580E+01    0.22401E+07   -0.12976E+02
   213    0.55686E+04    0.70795E+00    0.37151E+01    0.22290E+07   -0.13444E+02
