#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27    0.97449E+03    0.16561E+01    0.53371E-04    0.15955E-02    0.12992E-04    0.16561E+01    0.14178E-01   -0.56153E-08    0.56998E-07    0.93783E-14    0.53371E-04   -0.56153E-08    0.17387E-09    0.65782E-08    0.17953E-09    0.15955E-02    0.56998E-07    0.65782E-08    0.12872E-05    0.60740E-07    0.12992E-04    0.93783E-14    0.17953E-09    0.60740E-07    0.25467E-07
    28    0.98955E+03    0.17020E+01    0.50065E-04    0.15488E-02    0.12242E-04    0.17020E+01    0.16144E-01   -0.10989E-07    0.57142E-07    0.20928E-13    0.50065E-04   -0.10989E-07    0.16234E-09    0.63710E-08    0.17104E-09    0.15488E-02    0.57142E-07    0.63710E-08    0.13345E-05    0.62171E-07    0.12242E-04    0.20928E-13    0.17104E-09    0.62171E-07    0.26128E-07
    29    0.10049E+04    0.17456E+01    0.47050E-04    0.15036E-02    0.11552E-04    0.17456E+01    0.18287E-01   -0.16105E-07    0.57065E-07    0.18589E-13    0.47050E-04   -0.16105E-07    0.15185E-09    0.61727E-08    0.16325E-09    0.15036E-02    0.57065E-07    0.61727E-08    0.13811E-05    0.63593E-07    0.11552E-04    0.18589E-13    0.16325E-09    0.63593E-07    0.26786E-07
    30    0.10206E+04    0.17836E+01    0.44302E-04    0.14600E-02    0.10916E-04    0.17836E+01    0.20624E-01   -0.21086E-07    0.55528E-07   -0.32645E-13    0.44302E-04   -0.21086E-07    0.14227E-09    0.59829E-08    0.15607E-09    0.14600E-02    0.55528E-07    0.59829E-08    0.14270E-05    0.65006E-07    0.10916E-04   -0.32645E-13    0.15607E-09    0.65006E-07    0.27442E-07
    31    0.10364E+04    0.18138E+01    0.41786E-04    0.14180E-02    0.10326E-04    0.18138E+01    0.23139E-01   -0.26539E-07    0.52906E-07   -0.45180E-13    0.41786E-04   -0.26539E-07    0.13351E-09    0.58016E-08    0.14945E-09    0.14180E-02    0.52906E-07    0.58016E-08    0.14723E-05    0.66412E-07    0.10326E-04   -0.45180E-13    0.14945E-09    0.66412E-07    0.28097E-07
    32    0.10525E+04    0.18339E+01    0.39464E-04    0.13777E-02    0.97754E-05    0.18339E+01    0.25806E-01   -0.32574E-07    0.49943E-07    0.45690E-13    0.39464E-04   -0.32574E-07    0.12548E-09    0.56286E-08    0.14333E-09    0.13777E-02    0.49943E-07    0.56286E-08    0.15171E-05    0.67816E-07    0.97754E-05    0.45690E-13    0.14333E-09    0.67816E-07    0.28752E-07
    33    0.10690E+04    0.18412E+01    0.37310E-04    0.13391E-02    0.92647E-05    0.18412E+01    0.28637E-01   -0.36837E-07    0.47247E-07    0.90511E-13    0.37310E-04   -0.36837E-07    0.11811E-09    0.54636E-08    0.13765E-09    0.13391E-02    0.47247E-07    0.54636E-08    0.15614E-05    0.69217E-07    0.92647E-05    0.90511E-13    0.13765E-09    0.69217E-07    0.29408E-07
    34    0.10857E+04    0.18348E+01    0.35303E-04    0.13021E-02    0.87931E-05    0.18348E+01    0.31661E-01   -0.36898E-07    0.45245E-07   -0.33875E-13    0.35303E-04   -0.36898E-07    0.11133E-09    0.53061E-08    0.13238E-09    0.13021E-02    0.45245E-07    0.53061E-08    0.16052E-05    0.70615E-07    0.87931E-05   -0.33875E-13    0.13238E-09    0.70615E-07    0.30064E-07
    35    0.11026E+04    0.18191E+01    0.33432E-04    0.12666E-02    0.83519E-05    0.18191E+01    0.34900E-01   -0.32500E-07    0.43767E-07   -0.13128E-12    0.33432E-04   -0.32500E-07    0.10507E-09    0.51558E-08    0.12747E-09    0.12666E-02    0.43767E-07    0.51558E-08    0.16486E-05    0.72010E-07    0.83519E-05   -0.13128E-12    0.12747E-09    0.72010E-07    0.30721E-07
    36    0.11196E+04    0.17970E+01    0.31690E-04    0.12326E-02    0.79326E-05    0.17970E+01    0.38374E-01   -0.24537E-07    0.42483E-07   -0.11734E-13    0.31690E-04   -0.24537E-07    0.99288E-10    0.50123E-08    0.12289E-09    0.12326E-02    0.42483E-07    0.50123E-08    0.16915E-05    0.73402E-07    0.79326E-05   -0.11734E-13    0.12289E-09    0.73402E-07    0.31379E-07
    37    0.11366E+04    0.17646E+01    0.30079E-04    0.12000E-02    0.75372E-05    0.17646E+01    0.42076E-01   -0.16337E-07    0.41030E-07    0.17064E-12    0.30079E-04   -0.16337E-07    0.93932E-10    0.48753E-08    0.11860E-09    0.12000E-02    0.41030E-07    0.48753E-08    0.17341E-05    0.74792E-07    0.75372E-05    0.17064E-12    0.11860E-09    0.74792E-07    0.32039E-07
    38    0.11541E+04    0.17195E+01    0.28600E-04    0.11688E-02    0.71685E-05    0.17195E+01    0.46002E-01   -0.10956E-07    0.39134E-07    0.22884E-12    0.28600E-04   -0.10956E-07    0.88965E-10    0.47445E-08    0.11458E-09    0.11688E-02    0.39134E-07    0.47445E-08    0.17762E-05    0.76180E-07    0.71685E-05    0.22884E-12    0.11458E-09    0.76180E-07    0.32701E-07
