#    L    TT             EE             TE             PP             TP          
   152    0.43466E+04    0.10152E+01   -0.44253E+02    0.31089E+07   -0.31310E+02
   153    0.43779E+04    0.10094E+01   -0.44220E+02    0.30905E+07   -0.43537E+02
   154    0.44088E+04    0.10033E+01   -0.44164E+02    0.30722E+07   -0.53648E+02
   155    0.44396E+04    0.99686E+00   -0.44083E+02    0.30541E+07   -0.61768E+02
   156    0.44700E+04    0.99006E+00   -0.43979E+02    0.30361E+07   -0.68023E+02
   157    0.45003E+04    0.98291E+00   -0.43849E+02    0.30183E+07   -0.72539E+02
   158    0.45304E+04    0.97548E+00   -0.43694E+02    0.30007E+07   -0.75441E+02
   159    0.45601E+04    0.96763E+00   -0.43515E+02    0.29832E+07   -0.76857E+02
   160    0.45896E+04    0.95950E+00   -0.43309E+02    0.29658E+07   -0.76911E+02
   161    0.46189E+04    0.95116E+00   -0.43079E+02    0.29486E+07   -0.75730E+02
   162    0.46479E+04    0.94247E+00   -0.42823E+02    0.29316E+07   -0.73439E+02
   163    0.46767E+04    0.93350E+00   -0.42541E+02    0.29147E+07   -0.70165E+02
   164    0.47051E+04    0.92433E+00   -0.42235E+02    0.28979E+07   -0.66033E+02
   165    0.47333E+04    0.91488E+00   -0.41901E+02    0.28813E+07   -0.61170E+02
   166    0.47612E+04    0.90530E+00   -0.41542E+02    0.28648E+07   -0.55701E+02
   167    0.47889E+04    0.89536E+00   -0.41158E+02    0.28485E+07   -0.49752E+02
   168    0.48162E+04    0.88544E+00   -0.40747E+02    0.28323E+07   -0.43449E+02
   169    0.48431E+04    0.87524E+00   -0.40309E+02    0.28163E+07   -0.36919E+02
   170    0.48697E+04    0.86498E+00   -0.39846E+02    0.28004E+07   -0.30286E+02
   171    0.48959E+04    0.85466E+00   -0.39354E+02    0.27846E+07   -0.23677E+02
   172    0.49217E+04    0.84421E+00   -0.38836E+02    0.27690E+07   -0.17218E+02
   173    0.49470E+04    0.83362E+00   -0.38292E+02    0.27535E+07   -0.11035E+02
   174    0.49720E+04    0.82320E+00   -0.37721E+02    0.27381E+07   -0.52538E+01
   175    0.49967E+04    0.81265E+00   -0.37124E+02    0.27229E+07    0.00000E+00
   176    0.50208E+04    0.80218E+00   -0.36499E+02    0.27078E+07    0.46264E+01
   177    0.50445E+04    0.79173E+00   -0.35848E+02    0.26928E+07    0.86301E+01
   178    0.50678E+04    0.78151E+00   -0.35171E+02    0.26779E+07    0.12042E+02
