#    L    TT             EE             BB             TE             PP             TP             EP          
    73    0.18880E+04    0.34963E+00    0.00000E+00   -0.70745E+01    0.11187E-06    0.53827E-03   -0.21943E-06
    74    0.19127E+04    0.36269E+00    0.00000E+00   -0.75444E+01    0.11119E-06    0.52926E-03   -0.25607E-06
    75    0.19376E+04    0.37591E+00    0.00000E+00   -0.80255E+01    0.11050E-06    0.52055E-03   -0.26454E-06
    76    0.19629E+04    0.38931E+00    0.00000E+00   -0.85172E+01    0.10981E-06    0.51209E-03   -0.23742E-06
    77    0.19884E+04    0.40287E+00    0.00000E+00   -0.90194E+01    0.10913E-06    0.50378E-03   -0.18330E-06
    78    0.20144E+04    0.41662E+00    0.00000E+00   -0.95334E+01    0.10844E-06    0.49554E-03   -0.11475E-06
    79    0.20405E+04    0.43051E+00    0.00000E+00   -0.10055E+02    0.10775E-06    0.48728E-03   -0.44328E-07
    80    0.20669E+04    0.44454E+00    0.00000E+00   -0.10587E+02    0.10707E-06    0.47892E-03    0.15427E-07
    81    0.20934E+04    0.45865E+00    0.00000E+00   -0.11128E+02    0.10639E-06    0.47042E-03    0.54421E-07
    82    0.21202E+04    0.47287E+00    0.00000E+00   -0.11679E+02    0.10571E-06    0.46197E-03    0.72332E-07
    83    0.21472E+04    0.48718E+00    0.00000E+00   -0.12237E+02    0.10503E-06    0.45379E-03    0.71279E-07
    84    0.21745E+04    0.50157E+00    0.00000E+00   -0.12802E+02    0.10435E-06    0.44611E-03    0.53378E-07
    85    0.22018E+04    0.51601E+00    0.00000E+00   -0.13375E+02    0.10368E-06    0.43918E-03    0.20741E-07
    86    0.22294E+04    0.53052E+00    0.00000E+00   -0.13954E+02    0.10300E-06    0.43306E-03   -0.24104E-07
    87    0.22574E+04    0.54508E+00    0.00000E+00   -0.14539E+02    0.10234E-06    0.42720E-03   -0.76961E-07
    88    0.22854E+04    0.55968E+00    0.00000E+00   -0.15129E+02    0.10167E-06    0.42088E-03   -0.13322E-06
    89    0.23137E+04    0.57433E+00    0.00000E+00   -0.15727E+02    0.10101E-06    0.41338E-03   -0.18829E-06
    90    0.23422E+04    0.58897E+00    0.00000E+00   -0.16330E+02    0.10035E-06    0.40398E-03   -0.23756E-06
    91    0.23709E+04    0.60361E+00    0.00000E+00   -0.16937E+02    0.99699E-07    0.39214E-03   -0.27731E-06
    92    0.23998E+04    0.61824E+00    0.00000E+00   -0.17550E+02    0.99050E-07    0.37793E-03   -0.30738E-06
    93    0.24291E+04    0.63283E+00    0.00000E+00   -0.18167E+02    0.98406E-07    0.36161E-03   -0.32848E-06
    94    0.24584E+04    0.64736E+00    0.00000E+00   -0.18787E+02    0.97765E-07    0.34342E-03   -0.34131E-06
    95    0.24879E+04    0.66183E+00    0.00000E+00   -0.19412E+02    0.97129E-07    0.32362E-03   -0.34659E-06
    96    0.25175E+04    0.67623E+00    0.00000E+00   -0.20039E+02    0.96497E-07    0.30244E-03   -0.34503E-06
    97    0.25475E+04    0.69053E+00    0.00000E+00   -0.20670E+02    0.95869E-07    0.28014E-03   -0.33732E-06
    98    0.25777E+04    0.70474E+00    0.00000E+00   -0.21300E+02    0.95246E-07    0.25696E-03   -0.32419E-06
    99    0.26080E+04    0.71881E+00    0.00000E+00   -0.21934E+02    0.94626E-07    0.23314E-03   -0.30633E-06
   100    0.26385E+04    0.73275E+00    0.00000E+00   -0.22567E+02    0.94010E-07    0.20895E-03   -0.28446E-06
   101    0.26693E+04    0.74662E+00    0.00000E+00   -0.23203E+02    0.93399E-07    0.18462E-03   -0.25928E-06
